SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,SECURITY CODE,ISSUER NAME,SECURITY ID,SECURITY NAME,STATUS,GROUP,ISIN NO,INDUSTRY,INSTRUMENT,SECTOR NAME,INDUSTRY NEW NAME,IGROUP NAME,ISUBGROUP NAME
VALIANTLAB,Valiant Laboratories Limited,BE,06-OCT-2023,10,1,INE0JWS01017,10,,,,,,,,,,,,,
VALIANTORG,Valiant Organics Limited,EQ,23-JUL-2021,10,1,INE565V01010,10,,,,,,,,,,,,,
VARDHACRLC,Vardhman Acrylics Limited,EQ,30-SEP-2003,10,1,INE116G01013,10,,,,,,,,,,,,,
VARDMNPOLY,Vardhman Polytex Limited,EQ,12-MAY-2003,1,1,INE835A01029,1,,,,,,,,,,,,,
VARROC,Varroc Engineering Limited,EQ,06-JUL-2018,1,1,INE665L01035,1,,,,,,,,,,,,,
VASCONEQ,Vascon Engineers Limited,EQ,15-FEB-2010,10,1,INE893I01013,10,,,,,,,,,,,,,
VASWANI,Vaswani Industries Limited,EQ,20-SEP-2011,10,1,INE590L01019,10,,,,,,,,,,,,,
VBL,Varun Beverages Limited,EQ,08-NOV-2016,2,1,INE200M01039,2,,,,,,,,,,,,,
VCL,Vaxtex Cotfab Limited,EQ,19-APR-2022,1,1,INE098201036,1,,,,,,,,,,,,,
VEDL,Vedanta Limited,EQ,13-MAY-1998,1,1,INE205A01025,1,,,,,,,,,,,,,
VEEDOL,Veedol Corporation Limited,EQ,16-JAN-2007,2,1,INE484C01030,2,,,,,,,,,,,,,
VENKEYS,Venky's (India) Limited,EQ,28-JUL-2003,10,1,INE398A01010,10,,,,,,,,,,,,,
VENTIVE,Ventive Hospitality Limited,EQ,30-DEC-2024,1,1,INE781S01027,1,,,,,,,,,,,,,
VENUSPIPES,Venus Pipes & Tubes Limited,EQ,24-MAY-2022,10,1,INE0JA001018,10,,,,,,,,,,,,,
VENUSREM,Venus Remedies Limited,EQ,20-DEC-2006,10,1,INE411B01019,10,,,,,,,,,,,,,
VERANDA,Veranda Learning Solutions Limited,EQ,11-APR-2022,10,1,INE0IQ001011,10,,,,,,,,,,,,,
VERTOZ,Vertoz Limited,BE,14-MAY-2020,1,1,INE188Y01023,1,,,,,,,,,,,,,
VESUVIUS,Vesuvius India Limited,EQ,04-OCT-2002,10,1,INE386A01015,10,,,,,,,,,,,,,
VETO,Veto Switchgears And Cables Limited,EQ,29-APR-2015,10,1,INE918N01018,10,,,,,,,,,,,,,
VGUARD,V-Guard Industries Limited,EQ,13-MAR-2008,1,1,INE951I01027,1,,,,,,,,,,,,,
VHL,Vardhman Holdings Limited,EQ,30-JUN-2005,10,1,INE701A01023,10,,,,,,,,,,,,,
VHLTD,Viceroy Hotels Limited,BE,03-APR-2024,10,1,INE048C01025,10,,,,,,,,,,,,,
VIDHIING,Vidhi Specialty Food Ingredients Limited,EQ,02-MAR-2016,1,1,INE632C01026,1,,,,,,,,,,,,,
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,INE043W01024,1,,,,,,,,,,,,,
VIJIFIN,Viji Finance Limited,EQ,11-JUL-2016,1,1,INE159N01027,1,,,,,,,,,,,,,
VIKASECO,Vikas EcoTech Limited,EQ,12-DEC-2011,1,1,INE806A01020,1,,,,,,,,,,,,,
VIKASLIFE,Vikas Lifecare Limited,EQ,08-MAY-2019,1,1,INE161L01027,1,,,,,,,,,,,,,
VIMTALABS,Vimta Labs Limited,EQ,15-DEC-2005,2,1,INE579C01029,2,,,,,,,,,,,,,
VINATIORGA,Vinati Organics Limited,EQ,28-JUL-2009,1,1,INE410B01037,1,,,,,,,,,,,,,
VINCOFE,Vintage Coffee And Beverages Limited,EQ,18-OCT-2024,10,1,INE498Q01014,10,,,,,,,,,,,,,
VINDHYATEL,Vindhya Telelinks Limited,EQ,08-FEB-1995,10,1,INE707A01012,10,,,,,,,,,,,,,
VINEETLAB,Vineet Laboratories Limited,EQ,15-JUN-2021,10,1,INE505Y01010,10,,,,,,,,,,,,,
VINNY,Vinny Overseas Limited,BE,28-NOV-2022,1,1,INE01KI01027,1,,,,,,,,,,,,,
VINYLINDIA,Vinyl Chemicals (India) Limited,EQ,21-JUL-2008,1,1,INE250B01029,1,,,,,,,,,,,,,
VIPCLOTHNG,VIP Clothing Limited,BE,06-AUG-2007,2,1,INE450G01024,2,,,,,,,,,,,,,
VIPIND,VIP Industries Limited,EQ,02-MAR-2005,2,1,INE054A01027,2,,,,,,,,,,,,,
VIPULLTD,Vipul Limited,BE,23-APR-2015,1,1,INE946H01037,1,,,,,,,,,,,,,
VIRINCHI,Virinchi Limited,EQ,03-MAY-2023,10,1,INE539B01017,10,,,,,,,,,,,,,
VISAKAIND,Visaka Industries Limited,EQ,28-AUG-1996,2,1,INE392A01021,2,,,,,,,,,,,,,
VISASTEEL,Visa Steel Limited,BE,17-MAR-2006,10,1,INE286H01012,10,,,,,,,,,,,,,
VISHNU,Vishnu Chemicals Limited,EQ,05-MAR-2015,2,1,INE270I01022,2,,,,,,,,,,,,,
VISHWARAJ,Vishwaraj Sugar Industries Limited,EQ,15-OCT-2019,2,1,INE430N01022,2,,,,,,,,,,,,,
VIVIDHA,Visagar Polytex Limited,EQ,21-MAY-2013,1,1,INE370E01029,1,,,,,,,,,,,,,
VLEGOV,VL E-Governance & IT Solutions Limited,BE,14-AUG-2023,10,1,INE03HW01020,10,,,,,,,,,,,,,
VLSFINANCE,VLS Finance Limited,EQ,25-MAY-1995,10,1,INE709A01018,10,,,,,,,,,,,,,
VMART,V-Mart Retail Limited,EQ,20-FEB-2013,10,1,INE665J01013,10,,,,,,,,,,,,,
VMM,Vishal Mega Mart Limited,EQ,18-DEC-2024,10,1,INE01EA01019,10,,,,,,,,,,,,,
VOLTAMP,Voltamp Transformers Limited,EQ,20-SEP-2006,10,1,INE540H01012,10,,,,,,,,,,,,,
VOLTAS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1,,,,,,,,,,,,,
VPRPL,Vishnu Prakash R Punglia Limited,EQ,05-SEP-2023,10,1,INE0AE001013,10,,,,,,,,,,,,,
VRAJ,Vraj Iron and Steel Limited,EQ,03-JUL-2024,10,1,INE0S2V01010,10,,,,,,,,,,,,,
VRLLOG,VRL Logistics Limited,EQ,30-APR-2015,10,1,INE366I01010,10,,,,,,,,,,,,,
VSSL,Vardhman Special Steels Limited,EQ,17-MAY-2012,10,1,INE050M01012,10,,,,,,,,,,,,,
VSTIND,VST Industries Limited,EQ,05-SEP-2003,10,1,INE710A01016,10,,,,,,,,,,,,,
VSTL,Vibhor Steel Tubes Limited,EQ,20-FEB-2024,10,1,INE0QTF01015,10,,,,,,,,,,,,,
VSTTILLERS,V.S.T Tillers Tractors Limited,EQ,20-JUN-2011,10,1,INE764D01017,10,,,,,,,,,,,,,
VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,2,1,INE825A01020,2,,,,,,,,,,,,,
WAAREEENER,Waaree Energies Limited,EQ,28-OCT-2024,10,1,INE377N01017,10,,,,,,,,,,,,,
WAAREERTL,Waaree Renewable Technologies Limited,EQ,09-APR-2025,2,1,INE299N01021,2,,,,,,,,,,,,,
WABAG,VA Tech Wabag Limited,EQ,13-OCT-2010,2,1,INE956G01038,2,,,,,,,,,,,,,
WALCHANNAG,Walchandnagar Industries Limited,EQ,18-SEP-1996,2,1,INE711A01022,2,,,,,,,,,,,,,
WANBURY,Wanbury Limited,EQ,29-JAN-2007,10,1,INE107F01022,10,,,,,,,,,,,,,
WCIL,Western Carriers (India) Limited,EQ,24-SEP-2024,5,1,INE0CJF01024,5,,,,,,,,,,,,,
WEALTH,Wealth First Portfolio Managers Limited,BE,20-JAN-2021,10,1,INE658T01017,10,,,,,,,,,,,,,
WEBELSOLAR,Websol Energy System Limited,EQ,15-MAY-2007,10,1,INE855C01015,10,,,,,,,,,,,,,
WEIZMANIND,Weizmann Limited,EQ,10-MAY-1995,10,1,INE080A01014,10,,,,,,,,,,,,,
WEL,Wonder Electricals Limited,EQ,17-JAN-2022,1,1,INE02WG01024,1,,,,,,,,,,,,,
WELCORP,Welspun Corp Limited,EQ,24-MAY-2005,5,1,INE191B01025,5,,,,,,,,,,,,,
WELENT,Welspun Enterprises Limited,EQ,04-NOV-2004,10,1,INE625G01013,10,,,,,,,,,,,,,
WELINV,Welspun Investments and Commercials Limited,EQ,20-SEP-2010,10,1,INE389K01018,10,,,,,,,,,,,,,
WELSPUNLIV,Welspun Living Limited,EQ,04-DEC-2003,1,1,INE192B01031,1,,,,,,,,,,,,,
WENDT,Wendt (India) Limited,EQ,07-AUG-2006,10,1,INE274C01019,10,,,,,,,,,,,,,
WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,05-JUN-2023,2,1,INE274F01020,2,,,,,,,,,,,,,
WEWIN,WE WIN LIMITED,BE,15-JUN-2022,10,1,INE082W01014,10,,,,,,,,,,,,,
WHEELS,Wheels India Limited,EQ,07-APR-2000,10,1,INE715A01015,10,,,,,,,,,,,,,
WHIRLPOOL,Whirlpool of India Limited,EQ,06-APR-2010,10,1,INE716A01013,10,,,,,,,,,,,,,
WILLAMAGOR,Williamson Magor & Company Limited,EQ,08-FEB-1995,10,1,INE210A01017,10,,,,,,,,,,,,,
WINDLAS,Windlas Biotech Limited,EQ,16-AUG-2021,5,1,INE0H5O01029,5,,,,,,,,,,,,,
WINDMACHIN,Windsor Machines Limited,EQ,17-AUG-2011,2,1,INE052A01021,2,,,,,,,,,,,,,
WINSOME,Winsome Yarns Limited,BZ,25-AUG-2011,10,1,INE784B01035,10,,,,,,,,,,,,,
WIPL,The Western India Plywoods Limited,EQ,17-APR-2017,10,1,INE215F01023,10,,,,,,,,,,,,,
WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2,,,,,,,,,,,,,
WOCKPHARMA,Wockhardt Limited,EQ,23-FEB-2000,5,1,INE049B01025,5,,,,,,,,,,,,,
WONDERLA,Wonderla Holidays Limited,EQ,09-MAY-2014,10,1,INE066O01014,10,,,,,,,,,,,,,
WORTH,Worth Peripherals Limited,EQ,04-AUG-2020,10,1,INE196Y01018,10,,,,,,,,,,,,,
WSI,W S Industries (I) Limited,BE,01-AUG-2007,10,1,INE100D01014,10,,,,,,,,,,,,,
WSTCSTPAPR,West Coast Paper Mills Limited,EQ,17-JAN-2001,2,1,INE976A01021,2,,,,,,,,,,,,,
XCHANGING,Xchanging Solutions Limited,EQ,09-MAR-2005,10,1,INE692G01013,10,,,,,,,,,,,,,
XELPMOC,Xelpmoc Design And Tech Limited,EQ,04-FEB-2019,10,1,INE01P501012,10,,,,,,,,,,,,,
XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10,,,,,,,,,,,,,
XTGLOBAL,Xtglobal Infotech Limited,EQ,16-SEP-2024,1,1,INE547B01028,1,,,,,,,,,,,,,
YAARI,Yaari Digital Integrated Services Limited,BE,18-AUG-2011,2,1,INE126M01010,2,,,,,,,,,,,,,
YASHO,Yasho Industries Limited,EQ,21-AUG-2023,10,1,INE616Z01012,10,,,,,,,,,,,,,
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,EQ,07-AUG-2023,10,1,INE0JO301016,10,,,,,,,,,,,,,
YATRA,Yatra Online Limited,EQ,28-SEP-2023,1,1,INE0JR601024,1,,,,,,,,,,,,,
YESBANK,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2,,,,,,,,,,,,,
YUKEN,Yuken India Limited,EQ,02-SEP-2021,10,1,INE384C01016,10,,,,,,,,,,,,,
ZAGGLE,Zaggle Prepaid Ocean Services Limited,EQ,22-SEP-2023,1,1,INE07K301024,1,,,,,,,,,,,,,
ZEEL,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,INE256A01028,1,,,,,,,,,,,,,
ZEELEARN,Zee Learn Limited,EQ,20-DEC-2010,1,1,INE565L01011,1,,,,,,,,,,,,,
ZEEMEDIA,Zee Media Corporation Limited,EQ,10-JAN-2007,1,1,INE966H01019,1,,,,,,,,,,,,,
ZENITHEXPO,Zenith Exports Limited,EQ,10-JUL-1996,10,1,INE058B01018,10,,,,,,,,,,,,,
ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ,30-APR-2007,10,1,INE318D01020,10,,,,,,,,,,,,,
ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2,,,,,,,,,,,,,
ZENTEC,Zen Technologies Limited,EQ,30-MAR-2015,1,1,INE251B01027,1,,,,,,,,,,,,,
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5,1,INE342J01019,5,,,,,,,,,,,,,
ZIMLAB,Zim Laboratories Limited,EQ,25-NOV-2022,10,1,INE518E01015,10,,,,,,,,,,,,,
ZODIAC,Zodiac Energy Limited,EQ,14-DEC-2021,10,1,INE761Y01019,10,,,,,,,,,,,,,
ZODIACLOTH,Zodiac Clothing Company Limited,EQ,27-SEP-1995,10,1,INE206B01013,10,,,,,,,,,,,,,
ZOTA,Zota Health Care LImited,EQ,19-AUG-2019,10,1,INE358U01012,10,,,,,,,,,,,,,
ZUARI,Zuari Agro Chemicals Limited,EQ,27-NOV-2012,10,1,INE840M01016,10,,,,,,,,,,,,,
ZUARIIND,ZUARI INDUSTRIES LIMITED,EQ,12-APR-1995,10,1,INE217A01012,10,,,,,,,,,,,,,
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1,,,,,,,,,,,,,
ZYDUSWELL,Zydus Wellness Limited,EQ,13-NOV-2009,10,1,INE768C01010,10,,,,,,,,,,,,,
TPAEC,Torrent Power AEC Limited,,,,,,10.00,500004,Torrent Power AEC Limited,TPAEC,Torrent Power AEC Ltd,Delisted,B ,INE424A01014, ,Equity,-,-,-,-
AKARLAMIN,Akar Laminators Ltd.,,,,,,10.00,500005,Akar Laminators Ltd.,AKARLAMIN,Akar Laminators Ltd,Delisted,XD,INE984C01013, ,Equity,-,-,-,-
ALPHADR,Alpha Drugs India Ltd,,,,,,10.00,500006,Alpha Drugs India Ltd,ALPHADR,Alpha Drug India Ltd,Delisted,B ,INE256B01026, ,Equity,-,-,-,-
AMBALALSA,Ambalal Sarabhai Enterprise Ltd.,,,,,,10.00,500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,X ,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
HDFC,Housing Development Finance Corp.Lt,,,,,,2.00,500010,Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corporation Ltd,Delisted,A ,INE001A01036,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
AMRTMIL-BDM,Amrut Industries Ltd,,,,,,10.00,500011,Amrut Industries Ltd,AMRTMIL-BDM,Amrut Industries Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
ANDHRAPET,Andhra Petrochemicals Ltd.,,,,,,10.00,500012,Andhra Petrochemicals Ltd.,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X ,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
UTIQUE,UTIQUE ENTERPRISES LIMITED,,,,,,10.00,500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
ICICIDM,ICICI Ltd.,,,,,,10.00,500015,ICICI Ltd.,ICICIDM,ICICI Ltd,Delisted,B ,INE005A01011, ,Equity,-,-,-,-
ARUNAHTEL,Aruna Hotels Ltd.,,,,,,10.00,500016,Aruna Hotels Ltd.,ARUNAHTEL,Aruna Hotels Ltd,Active,X ,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ARPOLDM,Arvind Polycot Limited,,,,,,10.00,500018,Arvind Polycot Limited,ARPOLDM,ARPOLDM,Delisted,B ,INE035A01018, ,Equity,-,-,-,-
BOR,Bank Of Rajasthan Ltd.,,,,,,10.00,500019,Bank Of Rajasthan Ltd.,BOR,Bank of Rajasthan Ltd,Delisted,B ,INE320A01014, ,Equity,-,-,-,-
ASINCOF,Asian Coffee Ltd,,,,,,10.00,500021,Asian Coffee Ltd,ASINCOF,ASINCOF,Delisted,Z ,NA          , ,Equity,-,-,-,-
ASSAMCO,Assam Company (India) Limited,,,,,,1.00,500024,Assam Company (India) Limited,ASSAMCO,Assam Company India Ltd,Delisted,T ,INE442A01024, ,Equity,-,-,-,-
ASSAMBR,Assambrook Limited,,,,,,10.00,500025,Assambrook Limited,ASSAMBR,Assambrook Ltd-$,Delisted,X ,INE353C01011, ,Equity,-,-,-,-
ATSHIND,Atash Industries Ltd,,,,,,10.00,500026,Atash Industries Ltd,ATSHIND,Atash Industries Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
ATVPR,ATV Projects India Ltd,,,,,,10.00,500028,ATV Projects India Ltd,ATVPR,ATV Projects India Ltd,Active,X ,INE447A01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AUTOLITIND,Autolite (India) Ltd.,,,,,,10.00,500029,Autolite (India) Ltd.,AUTOLITIND,Autolite (India) Ltd,Delisted,Z ,INE448A01013,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AUTORIDFIN,Autoriders Finance Ltd.,,,,,,10.00,500030,Autoriders Finance Ltd.,AUTORIDFIN,Autoriders Finance Ltd,Delisted,Z ,INE450A01019, ,Equity,-,-,-,-
BALAJIDI,Balaji Distilleries Ltd.,,,,,,10.00,500035,Balaji Distilleries Ltd.,BALAJIDI,Balaji Distilleries Ltd,Delisted,T ,INE453A01013, ,Equity,-,-,-,-
BALAJIIND,Balaji Industrial Corporation Ltd.,,,,,,10.00,500036,Balaji Industrial Corporation Ltd.,BALAJIIND,Balaji Industrial Corporation Ltd,Delisted,X ,INE455A01018, ,Equity,-,-,-,-
BALMERL-B,Balmer Lawrie Freight Containers Lt,,,,,,10.00,500037,Balmer Lawrie Freight Containers Lt,BALMERL-B,Balmer Lawrie Freight Containers Ltd,Delisted,P ,-, ,Equity,-,-,-,-
RAYBAN,Rayban Sun Optics India Ltd.,,,,,,10.00,500044,Rayban Sun Optics India Ltd.,RAYBAN,Rayban Sun Optics India Ltd,Delisted,B ,INE854A01012, ,Equity,-,-,-,-
BELLARYS,Bellary Steel & Alloys Ltd,,,,,,1.00,500045,Bellary Steel & Alloys Ltd,BELLARYS,Bellary Steels & Alloys Ltd,Delisted,XT,INE166C01025, ,Equity,-,-,-,-
BECREL,Best & Crompton Engineering Ltd.,,,,,,10.00,500046,Best & Crompton Engineering Ltd.,BECREL,Best & Crompton Engineering Ltd,Delisted,Z ,INE287A01015, ,Equity,-,-,-,-
BETANAP,Beta Napthol Limited,,,,,,10.00,500047,Beta Napthol Limited,BETANAP,Beta Napthol Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
BHARATRA,"Bharat Rasayan Ltd.,",,,,,,10.00,500050,"Bharat Rasayan Ltd.,",BHARATRA,Bharat Rasayan Ltd,Delisted,T ,INE838B01013, ,Equity,-,-,-,-
BHAGGAS,Bhagawati Gas Limited,,,,,,10.00,500051,Bhagawati Gas Limited,BHAGGAS,Bhagawati Gas Ltd,Delisted,Z ,INE099C01010, ,Equity,-,-,-,-
BHAZINC,Bharat Zinc Limited,,,,,,10.00,500053,Bharat Zinc Limited,BHAZINC,Bharat Zinc Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
BHRTITE-B,Bharti Telecom Ltd.(Delisted for Takeover-21(3a)),,,,,,10.00,500054,Bharti Telecom Ltd.(Delisted for Takeover-21(3a)),BHRTITE-B,BHRTITE-B,Delisted,Z ,NA          , ,Equity,-,-,-,-
TATASTLBSL,TATA STEEL BSL LIMITED,,,,,,2.00,500055,TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Delisted,T ,INE824B01021,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
UTIMRDM,Mastergrowth - 93 (Scheme Of UTI),,,,,,10.00,500056,Mastergrowth - 93 (Scheme Of UTI),UTIMRDM,UTI Master Growth 93,Delisted,B ,INF189A01046, ,Equity,-,-,-,-
ABCIL,Aditya Birla Chemicals (India) Limited,,,,,,10.00,500057,Aditya Birla Chemicals (India) Limited,ABCIL,Aditya Birla Chemicals (India) Ltd,Delisted,B ,INE605B01016, ,Equity,-,-,-,-
BIHSPONG,Bihar Sponge Iron Ltd,,,,,,10.00,500058,Bihar Sponge Iron Ltd,BIHSPONG,Bihar Sponge Iron Ltd,Active,X ,INE819C01011,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
ANVALDM,Andhra Valley Power Supply Company,,,,,,10.00,500061,Andhra Valley Power Supply Company,ANVALDM,Andhra Valley Power Supply Co Ltd,Delisted,B ,INE247A01019, ,Equity,-,-,-,-
ASHOKLEYFIN,Ashok Leyland Finance Ltd.,,,,,,10.00,500062,Ashok Leyland Finance Ltd.,ASHOKLEYFIN,Ashok Leyland Finance Ltd,Delisted,B ,INE251A01011, ,Equity,-,-,-,-
OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,,,,,,10.00,500063,Oswal Chemicals & Fertilizers Ltd,OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,Delisted,B ,INE143A01010, ,Equity,-,-,-,-
BGFL,Birla Global Finance Ltd.,,,,,,10.00,500064,Birla Global Finance Ltd.,BGFL,Birla Global Finance Ltd,Delisted,B ,INE097A01018, ,Equity,-,-,-,-
DISAQ,Disa India Ltd.,,,,,,10.00,500068,Disa India Ltd.,DISAQ,Disa India Ltd,Active,B ,INE131C01011,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
QUESTCAP,QUEST CAPITAL MARKETS LIMITED,,,,,,10.00,500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X ,INE418C01012,Other Capital Market related Services,Equity,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
BOP,Bank Of Punjab Ltd.,,,,,,10.00,500070,Bank Of Punjab Ltd.,BOP,Bank of Punjab Ltd,Delisted,B ,INE458A01012, ,Equity,-,-,-,-
BONGAIREFN,Bongaingaon Refinery & Petrochemica,,,,,,10.00,500072,Bongaingaon Refinery & Petrochemica,BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd,Delisted,B ,INE241A01012, ,Equity,-,-,-,-
BPLENG,BPL Engineering Ltd.,,,,,,10.00,500073,BPL Engineering Ltd.,BPLENG,BPL Engineering Ltd,Delisted,B ,INE108A01013, ,Equity,-,-,-,-
NAGARFER,Nagarjuna Fertiliser & Chem. Ltd.,,,,,,10.00,500075,Nagarjuna Fertiliser & Chem. Ltd.,NAGARFER,Nagarjuna Fertilizers and Chemicals Ltd,Delisted,B ,INE580A01013, ,Equity,-,-,-,-
BURROWEL,"Burroughs Wellcome (India) Ltd.,",,,,,,10.00,500076,"Burroughs Wellcome (India) Ltd.,",BURROWEL,Burroughs Wellcome (India) Ltd,Delisted,B ,INE157A01010, ,Equity,-,-,-,-
CCI,Cable Corporation of India Ltd.,,,,,,10.00,500077,Cable Corporation of India Ltd.,CCI,Cable Corporation of India Ltd,Delisted,B ,INE475A01016, ,Equity,-,-,-,-
CARIR,Carrier Aircon Ltd,,,,,,10.00,500079,Carrier Aircon Ltd,CARIR,Carrier Aircon Ltd,Delisted,B ,INE480A01016, ,Equity,-,-,-,-
CAUVERSOFT,Cauvery Software Engg. Systems Ltd.,,,,,,10.00,500080,Cauvery Software Engg. Systems Ltd.,CAUVERSOFT,Cauvery Software Engineering Systems Ltd,Delisted,B ,INE466B01013, ,Equity,-,-,-,-
CELEINT,Celeste International Ltd.,,,,,,10.00,500081,Celeste International Ltd.,CELEINT,Celeste International Ltd,Delisted,Z ,NA          , ,Equity,-,-,-,-
CENCHDM,Centak Chemicals Ltd.,,,,,,10.00,500082,Centak Chemicals Ltd.,CENCHDM,Centak Chemicals Ltd,Delisted,B ,INE942A01015, ,Equity,-,-,-,-
MADUCOA,Madura Coats Ltd,,,,,,10.00,500090,Madura Coats Ltd,MADUCOA,Madura Coats Ltd,Delisted,B ,INE122A01014, ,Equity,-,-,-,-
COREPARENT,Core Healthcare ltd.,,,,,,10.00,500091,Core Healthcare ltd.,COREPARENT,Core Healthcare Ltd,Delisted,B ,INE494A01017, ,Equity,-,-,-,-
CTCOTTON,C.T. Cotton Yarn Ltd.,,,,,,10.00,500094,C.T. Cotton Yarn Ltd.,CTCOTTON,CT Cotton Yarn Ltd,Delisted,XD,INE107D01019, ,Equity,-,-,-,-
WYETH,Wyeth Ltd.,,,,,,10.00,500095,Wyeth Ltd.,WYETH,Wyeth Ltd,Delisted,B ,INE378A01012, ,Equity,-,-,-,-
SKYLNEPC,Skyline NEPC Ltd,,,,,,10.00,500098,Skyline NEPC Ltd,SKYLNEPC,Skyline NEPC Ltd,Delisted,B ,INE575B01011, ,Equity,-,-,-,-
CENTINPO,Central India Polyesters Ltd.,,,,,,10.00,500099,Central India Polyesters Ltd.,CENTINPO,Central India Polyesters Ltd,Delisted,B ,INE496A01020, ,Equity,-,-,-,-
DAEWOO,Daewoo Motors India Ltd.,,,,,,10.00,500100,Daewoo Motors India Ltd.,DAEWOO,Daewoo Motors India Ltd,Delisted,XD,INE497A01010, ,Equity,-,-,-,-
BALLARPUR,Ballarpur Industries Ltd.,,,,,,2.00,500102,Ballarpur Industries Ltd.,BALLARPUR,Ballarpur Industries Ltd,Suspended,Z ,INE294A01037,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
IPCL,Indian Petrochemicals Corpn. Ltd.,,,,,,10.00,500105,Indian Petrochemicals Corpn. Ltd.,IPCL,Indian Petrochemicals Corporation Ltd,Delisted,B ,INE006A01019, ,Equity,-,-,-,-
JINDALIRON,Jindal Iron & Steel Co Ltd.,,,,,,10.00,500107,Jindal Iron & Steel Co Ltd.,JINDALIRON,Jindal Iron & Steel Company Ltd,Delisted,B ,INE020A01010, ,Equity,-,-,-,-
RELCAPITAL,Reliance Capital Limited,,,,,,10.00,500111,Reliance Capital Limited,RELCAPITAL,Reliance Capital Ltd,Delisted,T ,INE013A01015,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
MSTRP,Masterplus - 91 (Scheme of UTI)-OE.not.45507/00,,,,,,10.00,500115,Masterplus - 91 (Scheme of UTI)-OE.not.45507/00,MSTRP,MSTRP,Delisted,Z ,INF189A01061, ,Equity,-,-,-,-
DIGITAL,Digital Globalsoft Ltd.,,,,,,10.00,500121,Digital Globalsoft Ltd.,DIGITAL,Digital GlobalSoft Ltd,Delisted,B ,INE124A01010, ,Equity,-,-,-,-
AMBUJACEMR,Ambuja Cement Rajasthan Ltd,,,,,,10.00,500122,Ambuja Cement Rajasthan Ltd,AMBUJACEMR,Ambuja Cement Rajasthan Ltd,Delisted,Z ,INE125A01017, ,Equity,-,-,-,-
ELANTAS,Elantas Beck India Ltd,,,,,,10.00,500123,Elantas Beck India Ltd,ELANTAS,Elantas Beck India Ltd-$,Active,B ,INE280B01018,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
